CustomerID,Recency,Frequency,Monetary,log_Recency,log_Frequency,log_Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,RFM_Label,Cluster,Segment
12346,326,12,77556.46,5.7899601708972535,2.5649493574615367,11.258774359980723,2,3,4,9,234,Potential Loyalists,1,Champions
12347,2,8,4921.53,1.0986122886681098,2.19722457733622,8.501577904958904,4,3,4,11,434,Champions,1,Champions
12348,75,5,2019.4,4.330733340286331,1.791759469228055,7.6110507905938976,3,2,3,8,323,Loyal Customers,1,Champions
12349,19,4,4428.69,2.995732273553991,1.6094379124341005,8.39608488316401,4,2,4,10,424,Loyal Customers,1,Champions
12350,310,1,334.4,5.739792912179234,0.6931471805599453,5.815323849389109,2,1,1,4,211,At-Risk Customers,0,Lapsed Customers
12351,375,1,300.93,5.929589143389895,0.6931471805599453,5.710195202428391,2,1,1,4,211,At-Risk Customers,0,Lapsed Customers
12352,36,10,2849.84,3.610917912644224,2.3978952727983707,7.955368966678431,3,3,4,10,334,Champions,1,Champions
12353,204,2,406.76,5.3230099791384085,1.0986122886681098,6.010678766031786,2,1,2,5,212,At-Risk Customers,0,Lapsed Customers
12354,232,1,1079.4,5.4510384535657,0.6931471805599453,6.985086621918461,2,1,3,6,213,At-Risk Customers,0,Lapsed Customers
12355,214,2,947.61,5.3706380281276624,1.0986122886681098,6.854997755239065,2,1,3,6,213,At-Risk Customers,0,Lapsed Customers
12356,23,6,6371.73,3.1780538303479458,1.9459101490553128,8.759783228184276,4,2,4,10,424,Loyal Customers,1,Champions
12357,33,3,18287.66,3.5263605246161616,1.3862943611198906,9.814036474622236,3,1,4,8,314,New Customers,1,Champions
12358,2,5,3887.07,1.0986122886681098,1.791759469228055,8.265668169533484,4,2,4,10,424,Loyal Customers,1,Champions
12359,58,10,8873.39,4.07753744390572,2.3978952727983707,9.090924879587073,3,3,4,10,334,Champions,1,Champions
12360,52,8,4252.89,3.970291913552122,2.19722457733622,8.355589137409874,3,3,4,10,334,Champions,1,Champions
12361,287,4,511.25,5.662960480135946,1.6094379124341005,6.238812787119009,2,2,2,6,222,Potential Loyalists,0,Lapsed Customers
12362,3,11,5356.23,1.3862943611198906,2.4849066497880004,8.586202329437555,4,3,4,11,434,Champions,1,Champions
12363,110,2,552.0,4.709530201312334,1.0986122886681098,6.315358001522335,2,1,2,5,212,At-Risk Customers,0,Lapsed Customers
12364,8,4,1313.1,2.19722457733622,1.6094379124341005,7.180907299649593,4,2,3,9,423,Loyal Customers,1,Champions
12365,291,2,641.38,5.676753802268282,1.0986122886681098,6.465180028897591,2,1,2,5,212,At-Risk Customers,0,Lapsed Customers
12366,634,1,500.24,6.453624998892692,0.6931471805599453,6.217085028297085,1,1,2,4,112,Lost Customers,0,Lapsed Customers
12367,4,1,168.9,1.6094379124341005,0.6931471805599453,5.135210028677887,4,1,1,6,411,New Customers,0,Lapsed Customers
12368,628,1,917.7,6.444131256700441,0.6931471805599453,6.822959627277421,1,1,3,5,113,Lost Customers,0,Lapsed Customers
12369,413,3,1791.15,6.025865973825314,1.3862943611198906,7.491171295388921,1,1,3,5,113,Lost Customers,0,Lapsed Customers
12370,51,7,4316.56,3.951243718581428,2.079441541679836,8.370445706855367,3,2,4,9,324,Loyal Customers,1,Champions
12371,45,5,4067.38,3.828641396489095,1.791759469228055,8.31100016480189,3,2,4,9,324,Loyal Customers,1,Champions
12372,72,3,1298.04,4.290459441148391,1.3862943611198906,7.169380809114136,3,1,3,7,313,New Customers,0,Lapsed Customers
12373,311,3,1127.65,5.7430031878094825,1.3862943611198906,7.028777507229587,2,1,3,6,213,At-Risk Customers,0,Lapsed Customers
12374,25,4,2989.2200000000003,3.258096538021482,1.6094379124341005,8.003102242273277,4,2,4,10,424,Loyal Customers,1,Champions
12375,11,2,457.5,2.4849066497880004,1.0986122886681098,6.127960291696519,4,1,2,7,412,New Customers,0,Lapsed Customers
12376,390,2,503.15,5.968707559985366,1.0986122886681098,6.222873842839224,1,1,2,4,112,Lost Customers,0,Lapsed Customers
12377,315,4,3426.32,5.755742213586912,1.6094379124341005,8.139533893646055,2,2,4,8,224,Potential Loyalists,0,Lapsed Customers
12378,130,2,5416.32,4.875197323201151,1.0986122886681098,8.597356507200939,2,1,4,7,214,At-Risk Customers,0,Lapsed Customers
12379,82,4,1620.22,4.418840607796598,1.6094379124341005,7.390934231218893,3,2,3,8,323,Loyal Customers,1,Champions
12380,22,11,9676.3,3.1354942159291497,2.4849066497880004,9.177538215743802,4,3,4,11,434,Champions,1,Champions
12381,5,5,1845.31,1.791759469228055,1.791759469228055,7.520944331624911,4,2,3,9,423,Loyal Customers,1,Champions
12383,185,5,1850.56,5.225746673713202,1.791759469228055,7.523783805985769,2,2,3,7,223,Potential Loyalists,0,Lapsed Customers
12384,29,2,585.27,3.4011973816621555,1.0986122886681098,6.373780434317173,3,1,2,6,312,New Customers,0,Lapsed Customers
12385,379,1,1938.4,5.940171252720432,0.6931471805599453,7.570133925870446,2,1,3,6,213,At-Risk Customers,0,Lapsed Customers
12386,338,2,401.9,5.82600010738045,1.0986122886681098,5.998688392197302,2,1,2,5,212,At-Risk Customers,0,Lapsed Customers
12387,415,1,143.94,6.030685260261263,0.6931471805599453,4.976319863681136,1,1,1,3,111,Lost Customers,0,Lapsed Customers
12388,16,8,3901.11,2.833213344056216,2.19722457733622,8.269272711457157,4,3,4,11,434,Champions,1,Champions
12389,403,3,1433.33,6.001414877961151,1.3862943611198906,7.268453120207762,1,1,3,5,113,Lost Customers,0,Lapsed Customers
12390,80,1,549.84,4.394449154672439,0.6931471805599453,6.311444385858925,3,1,2,6,312,New Customers,0,Lapsed Customers
12391,22,6,2724.84,3.1354942159291497,1.9459101490553128,7.910531916476688,4,2,4,10,424,Loyal Customers,1,Champions
12392,591,1,234.75000000000003,6.3835066348840055,0.6931471805599453,5.462771921513567,1,1,1,3,111,Lost Customers,0,Lapsed Customers
12393,72,6,2399.4500000000003,4.290459441148391,1.9459101490553128,7.783411498760109,3,2,4,9,324,Loyal Customers,1,Champions
12394,64,2,1272.48,4.174387269895637,1.0986122886681098,7.149508589545504,3,1,3,7,313,New Customers,0,Lapsed Customers
12395,19,15,4721.17,2.995732273553991,2.772588722239781,8.46002371869161,4,3,4,11,434,Champions,1,Champions
12396,674,1,931.43,6.51471269087253,0.6931471805599453,6.837794081676172,1,1,3,5,113,Lost Customers,0,Lapsed Customers
12397,36,2,2409.9,3.610917912644224,1.0986122886681098,7.7877554007552545,3,1,4,8,314,New Customers,1,Champions
12398,46,1,1635.66,3.8501476017100575,0.6931471805599453,7.400412858792404,3,1,3,7,313,New Customers,0,Lapsed Customers
12399,119,7,1962.3,4.787491742782046,2.079441541679836,7.582382009904704,2,2,3,7,223,Potential Loyalists,1,Champions
12400,414,1,205.25,6.028278520230698,0.6931471805599453,5.32908902521479,1,1,1,3,111,Lost Customers,0,Lapsed Customers
12401,303,1,84.3,5.717027701406222,0.6931471805599453,4.446174454497633,2,1,1,4,211,At-Risk Customers,0,Lapsed Customers
12402,323,6,1256.9,5.780743515792329,1.9459101490553128,7.137198942844827,2,2,3,7,223,Potential Loyalists,0,Lapsed Customers
12403,50,2,1019.36,3.9318256327243257,1.0986122886681098,6.927910785185701,3,1,3,7,313,New Customers,0,Lapsed Customers
12404,682,1,63.24,6.52649485957079,0.6931471805599453,4.162626069638506,1,1,1,3,111,Lost Customers,0,Lapsed Customers
12405,149,1,1710.39,5.010635294096256,0.6931471805599453,7.445061184797548,2,1,3,6,213,At-Risk Customers,0,Lapsed Customers
12406,22,5,6390.36,3.1354942159291497,1.791759469228055,8.762702357276806,4,2,4,10,424,Loyal Customers,1,Champions
12407,50,5,1708.12,3.9318256327243257,1.791759469228055,7.443733897151405,3,2,3,8,323,Loyal Customers,1,Champions
